,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bajos de haina,18.4154,-70.0332,25.56,94,20,2.06,DO,1616471944
1,busselton,-33.65,115.3333,16.11,71,45,0.89,AU,1616471945
2,east london,-33.0153,27.9116,16.0,94,0,2.06,ZA,1616471945
3,groningen,53.25,6.75,4.44,93,90,3.09,NL,1616471945
4,boyolangu,-8.1181,111.8935,29.86,64,95,2.72,ID,1616471945
5,ivanovskoye,44.5795,41.8764,1.0,93,75,6.0,RU,1616471946
6,dikson,73.5069,80.5464,-29.01,85,80,1.6,RU,1616471946
7,fortuna,40.5982,-124.1573,8.89,87,90,6.69,US,1616471946
8,san patricio,28.017,-97.5169,21.11,83,90,10.8,US,1616471946
9,souillac,-20.5167,57.5167,24.0,94,40,1.54,MU,1616471946
10,saint anthony,45.0205,-93.218,12.0,32,40,2.06,US,1616471947
11,port alfred,-33.5906,26.891,17.45,83,28,3.53,ZA,1616471947
12,leningradskiy,69.3833,178.4167,-22.43,88,2,2.75,RU,1616471947
13,eureka,40.8021,-124.1637,9.44,82,94,3.13,US,1616471947
14,bluff,-46.6,168.3333,13.89,94,86,1.79,NZ,1616471669
15,mataura,-46.1927,168.8643,13.89,94,77,1.79,NZ,1616471948
16,mecca,21.4267,39.8261,26.72,40,0,1.19,SA,1616471948
17,sinnamary,5.3833,-52.95,24.85,89,100,5.05,GF,1616471948
18,lubao,14.9167,120.55,31.0,58,75,3.09,PH,1616471949
19,georgetown,5.4112,100.3354,33.0,49,20,4.63,MY,1616471748
20,goure,13.9835,10.2704,27.1,14,44,3.84,NE,1616471949
21,puerto ayora,-0.7393,-90.3518,25.56,92,21,1.32,EC,1616471949
22,half moon bay,37.4636,-122.4286,12.0,93,90,5.14,US,1616471949
23,cape town,-33.9258,18.4232,18.89,68,0,5.14,ZA,1616471950
24,hami,42.8,93.45,12.55,19,94,1.88,CN,1616471947
25,harper,4.375,-7.7169,25.06,87,93,2.68,LR,1616471950
26,aklavik,68.2191,-135.0107,-17.0,65,11,3.6,CA,1616471951
27,pevek,69.7008,170.3133,-23.37,92,63,1.14,RU,1616471951
28,taltal,-25.4,-70.4833,19.22,79,3,0.95,CL,1616471951
29,lazaro cardenas,17.9583,-102.2,22.35,66,0,1.92,MX,1616471951
30,amahai,-3.3333,128.9167,30.85,61,91,3.08,ID,1616471952
31,narsaq,60.9167,-46.05,-9.0,48,75,1.54,GL,1616471952
32,buritis,-15.6178,-46.4233,20.28,68,67,1.14,BR,1616471952
33,katsuura,35.1333,140.3,14.44,43,20,3.6,JP,1616471739
34,coahuayana,18.7333,-103.6833,19.06,75,0,1.47,MX,1616471952
35,port blair,11.6667,92.75,30.0,79,75,2.57,IN,1616471953
36,murwara,23.85,80.4,32.78,17,77,0.96,IN,1616471953
37,sao gabriel da cachoeira,-0.1303,-67.0892,22.38,98,100,0.24,BR,1616471953
38,abnub,27.2696,31.1511,23.0,27,0,4.12,EG,1616471953
39,hithadhoo,-0.6,73.0833,28.58,68,10,3.43,MV,1616471954
40,sitka,57.0531,-135.33,4.0,87,90,2.57,US,1616471954
41,rikitea,-23.1203,-134.9692,26.86,73,7,5.53,PF,1616471954
42,albany,42.6001,-73.9662,8.33,42,1,1.19,US,1616471954
43,punta arenas,-53.15,-70.9167,9.0,76,75,1.54,CL,1616471954
44,ketchikan,55.3422,-131.6461,4.0,93,90,1.54,US,1616471955
45,atuona,-9.8,-139.0333,27.03,77,7,9.05,PF,1616471955
46,melville,40.7934,-73.4151,7.0,76,1,2.57,US,1616471955
47,palana,59.1167,159.9667,-2.32,96,100,3.9,RU,1616471955
48,tuktoyaktuk,69.4541,-133.0374,-23.0,77,1,7.2,CA,1616471956
49,port lincoln,-34.7333,135.8667,22.66,53,1,5.44,AU,1616471957
50,koroni,36.8,21.95,11.11,93,43,2.06,GR,1616471957
51,padang,-0.9492,100.3543,29.0,70,40,1.54,ID,1616471957
52,bengkulu,-3.8004,102.2655,29.11,65,76,1.82,ID,1616471957
53,manono,-7.3,27.4167,19.59,97,99,0.9,CD,1616471957
54,sur,22.5667,59.5289,26.07,44,0,2.76,OM,1616471958
55,sao filipe,14.8961,-24.4956,20.97,72,12,5.11,CV,1616471958
56,saint-augustin,51.226,-58.6502,-5.12,92,61,2.92,CA,1616471958
57,arraial do cabo,-22.9661,-42.0278,24.52,84,28,3.15,BR,1616471958
58,atambua,-9.1061,124.8925,28.0,71,99,1.74,ID,1616471959
59,hobart,-42.8794,147.3294,25.0,46,20,7.2,AU,1616471790
60,tuatapere,-46.1333,167.6833,13.89,94,97,1.79,NZ,1616471959
61,cayenne,4.9333,-52.3333,25.0,94,90,1.03,GF,1616471959
62,ushuaia,-54.8,-68.3,10.0,71,20,3.09,AR,1616471874
63,jamestown,42.097,-79.2353,11.0,20,1,2.95,US,1616471960
64,cidreira,-30.1811,-50.2056,23.45,73,99,5.84,BR,1616471960
65,thompson,55.7435,-97.8558,-14.0,51,90,5.14,CA,1616471960
66,nanortalik,60.1432,-45.2371,-6.12,69,39,4.71,GL,1616471961
67,altay,47.8667,88.1167,4.69,56,100,1.13,CN,1616471961
68,butaritari,3.0707,172.7902,27.45,79,98,8.52,KI,1616471961
69,mapimi,25.8167,-103.85,28.0,11,40,4.53,MX,1616471961
70,canon city,38.441,-105.2424,4.0,75,90,3.09,US,1616471962
71,constitucion,-35.3333,-72.4167,14.02,82,0,5.82,CL,1616471962
72,asyut,27.181,31.1837,23.0,27,0,4.12,EG,1616471962
73,alexandria,31.2156,29.9553,20.0,60,0,2.06,EG,1616471962
74,jiaojiang,28.6803,121.4428,18.33,47,9,2.24,CN,1616471963
75,vaini,-21.2,-175.2,27.0,78,40,2.57,TO,1616471963
76,brae,60.3964,-1.353,8.0,87,90,5.14,GB,1616471963
77,broken hill,-31.95,141.4333,26.0,38,0,8.75,AU,1616471963
78,celina,40.5489,-84.5702,10.56,76,100,3.02,US,1616471964
79,hermanus,-34.4187,19.2345,18.89,78,4,5.81,ZA,1616471964
80,zheleznodorozhnyy,55.7503,38.0042,-3.0,86,0,2.0,RU,1616471964
81,kapaa,22.0752,-159.319,24.0,69,20,3.6,US,1616471964
82,batagay-alyta,67.8006,130.4114,-19.85,89,100,2.82,RU,1616471964
83,dawlatabad,36.4141,64.9053,16.88,46,0,1.37,AF,1616471965
84,fairbanks,64.8378,-147.7164,-3.0,48,1,2.06,US,1616471874
85,vavuniya,8.7514,80.4971,31.09,49,71,2.65,LK,1616471965
86,manado,1.487,124.8455,32.0,62,40,4.12,ID,1616471965
87,bacungan,9.9106,118.7022,32.0,74,20,8.23,PH,1616471966
88,bulgan,48.8125,103.5347,5.47,37,74,1.6,MN,1616471966
89,vila velha,-20.3297,-40.2925,25.0,88,0,1.54,BR,1616471966
90,los llanos de aridane,28.6585,-17.9182,18.0,59,75,6.17,ES,1616471966
91,lebu,-37.6167,-73.65,12.84,90,30,4.56,CL,1616471967
92,kupang,-10.1667,123.5833,30.0,74,20,2.06,ID,1616471967
93,mahebourg,-20.4081,57.7,24.0,94,40,1.54,MU,1616471967
94,morant bay,17.8815,-76.4093,26.0,78,20,2.06,JM,1616471968
95,la palma,33.8464,-118.0467,14.44,88,1,2.57,US,1616471968
96,nikolskoye,59.7035,30.7861,-7.22,79,0,2.0,RU,1616471969
97,paragominas,-2.9667,-47.4833,21.16,98,100,1.21,BR,1616471969
98,plainview,40.7765,-73.4673,7.0,76,1,2.57,US,1616471970
99,road town,18.4167,-64.6167,25.0,86,24,0.45,VG,1616471970
100,mattru,7.6244,-11.8332,23.74,89,93,0.74,SL,1616471970
101,yellowknife,62.456,-114.3525,-21.67,54,20,3.6,CA,1616471874
102,cruz alta,-28.6386,-53.6064,18.47,90,80,3.24,BR,1616471971
103,barrow,71.2906,-156.7887,-22.0,71,90,2.57,US,1616471971
104,itarema,-2.9248,-39.9167,24.65,83,99,1.56,BR,1616471971
105,xining,36.6167,101.7667,9.73,9,0,1.3,CN,1616471888
106,bambous virieux,-20.3428,57.7575,27.78,94,40,1.54,MU,1616471972
107,uniontown,39.9001,-79.7164,13.0,18,1,3.09,US,1616471972
108,salalah,17.0151,54.0924,22.0,43,0,2.06,OM,1616471972
109,haines junction,60.7522,-137.5108,-9.0,45,95,0.65,CA,1616471973
110,karsava,56.7841,27.6883,-6.14,88,8,1.46,LV,1616471973
111,gravdal,68.1214,13.5031,4.56,81,95,13.79,NO,1616471973
112,whitehorse,60.7161,-135.0538,-11.0,73,40,1.54,CA,1616471973
113,ust-nera,64.5667,143.2,-12.89,87,100,4.57,RU,1616471974
114,tual,-5.6667,132.75,28.99,68,84,0.65,ID,1616471974
115,tasiilaq,65.6145,-37.6368,-6.0,68,75,6.17,GL,1616471974
116,lira,2.235,32.9097,19.27,84,56,0.92,UG,1616471974
117,port macquarie,-31.4333,152.9167,21.0,100,90,4.63,AU,1616471975
118,balingasay,16.3573,119.8564,29.65,61,6,3.54,PH,1616471975
119,teguise,29.0605,-13.564,15.0,77,0,3.09,ES,1616471975
120,ancud,-41.8697,-73.8203,11.11,93,40,3.09,CL,1616471975
121,waipawa,-41.4122,175.5153,17.78,72,100,4.63,NZ,1616471976
122,tateyama,34.9833,139.8667,12.0,47,20,6.17,JP,1616471976
123,new norfolk,-42.7826,147.0587,25.0,41,24,1.79,AU,1616471976
124,kajiado,-1.8524,36.7768,17.0,94,75,5.14,KE,1616471976
125,shimoda,34.6667,138.95,12.0,47,20,6.17,JP,1616471826
126,mogadishu,2.0371,45.3438,26.77,75,32,7.18,SO,1616471977
127,ostrovnoy,68.0531,39.5131,-10.42,85,84,6.66,RU,1616471977
128,kavieng,-2.5744,150.7967,27.71,78,99,5.64,PG,1616471978
129,qaanaaq,77.484,-69.3632,-27.29,68,70,2.61,GL,1616471978
130,ishinomaki,38.4167,141.3,10.0,40,75,5.66,JP,1616471741
131,jutai,-5.1833,-68.9,22.7,97,100,1.2,BR,1616471979
132,rorvik,64.8621,11.2373,5.88,95,100,13.5,NO,1616471979
133,port hedland,-20.3167,118.5667,34.0,31,40,3.6,AU,1616471979
134,ajdabiya,30.7554,20.2263,14.76,57,93,8.18,LY,1616471979
135,westport,41.1415,-73.3579,6.11,81,1,2.06,US,1616471980
136,bethel,41.3712,-73.414,5.0,70,1,0.47,US,1616471981
137,victoria,22.2855,114.1577,20.56,58,97,1.34,HK,1616471692
138,saint-philippe,-21.3585,55.7679,28.0,65,0,2.06,RE,1616471981
139,sibolga,1.7427,98.7792,29.49,64,100,1.8,ID,1616471982
140,grindavik,63.8424,-22.4338,2.0,75,75,12.86,IS,1616471982
141,saint george,37.1041,-113.5841,13.33,24,1,2.06,US,1616471982
142,ponta do sol,32.6667,-17.1,12.78,55,13,3.13,PT,1616471982
143,noumea,-22.2763,166.4572,28.0,57,90,4.12,NC,1616471730
144,surab,28.4914,66.2585,12.94,25,0,5.13,PK,1616471983
145,airai,-8.9266,125.4092,21.65,76,98,0.78,TL,1616471983
146,mount gambier,-37.8333,140.7667,24.0,60,90,4.12,AU,1616471983
147,avarua,-21.2078,-159.775,28.0,78,53,1.54,CK,1616471984
148,provideniya,64.3833,-173.3,-15.0,61,0,1.76,RU,1616471984
149,cornwall,45.0181,-74.7281,1.0,60,1,2.47,CA,1616471984
150,krasnoselkup,65.7,82.4667,-13.53,92,99,5.17,RU,1616471984
151,mujiayingzi,42.1167,118.7833,13.98,15,100,5.82,CN,1616471984
152,kirakira,-10.4544,161.9205,28.83,75,100,2.46,SB,1616471985
153,guerrero negro,27.9769,-114.0611,14.17,81,98,7.81,MX,1616471985
154,bredasdorp,-34.5322,20.0403,19.0,72,19,6.17,ZA,1616471985
155,port elizabeth,-33.918,25.5701,13.0,94,20,1.54,ZA,1616471983
156,goderich,43.7501,-81.7165,12.0,35,100,3.09,CA,1616471986
157,praya,14.9215,-23.5087,19.0,77,20,6.69,CV,1616471986
158,lepley,54.3092,42.8599,-3.35,97,100,1.16,RU,1616471986
159,slavonice,48.9975,15.3515,-1.11,83,100,3.6,CZ,1616471986
160,sijunjung,-0.6876,100.9537,28.29,74,96,1.12,ID,1616471986
161,sikasso,10.9167,-7.0,26.87,59,96,2.2,ML,1616471987
162,codrington,-38.2667,141.9667,20.25,75,93,3.51,AU,1616471987
163,lompoc,34.6391,-120.4579,12.0,76,90,5.14,US,1616471987
164,vila franca do campo,37.7167,-25.4333,15.0,88,40,2.57,PT,1616471987
165,lagoa,39.05,-27.9833,13.18,70,100,10.09,PT,1616471988
166,alingsas,57.9303,12.5335,1.0,100,90,3.09,SE,1616471988
167,norman wells,65.282,-126.8329,-20.0,71,20,2.57,CA,1616471988
168,corrente,-3.7367,-43.3394,22.09,99,100,0.88,BR,1616471988
169,castro,-24.7911,-50.0119,17.26,92,100,1.11,BR,1616471988
170,bhusawal,21.05,75.7667,32.74,25,56,3.34,IN,1616471989
171,pumiao,22.75,108.4833,18.0,55,0,1.0,CN,1616471989
172,hovd,48.0056,91.6419,4.49,21,98,1.16,MN,1616471989
173,luis correia,-2.8792,-41.6669,24.28,87,98,1.83,BR,1616471990
174,faanui,-16.4833,-151.75,28.77,73,11,6.71,PF,1616471990
175,karratha,-20.7377,116.8463,32.79,40,3,4.56,AU,1616471895
176,visakhapatnam,17.69,83.2093,30.0,54,20,1.03,IN,1616471886
177,jiuquan,39.7432,98.5174,10.49,11,65,2.01,CN,1616471786
178,mandalgovi,45.7625,106.2708,6.04,25,8,6.83,MN,1616471991
179,chokurdakh,70.6333,147.9167,-22.48,87,92,4.66,RU,1616471992
180,ankang,32.68,109.0172,18.66,40,32,2.96,CN,1616471874
181,hilo,19.7297,-155.09,21.0,83,90,3.09,US,1616471951
182,upernavik,72.7868,-56.1549,-23.46,96,100,2.99,GL,1616471993
183,rurrenabaque,-14.4413,-67.5278,20.16,99,100,0.81,BO,1616471993
184,patitirion,39.15,23.8667,10.0,93,75,7.72,GR,1616471993
185,ciro marina,39.3732,17.126,3.89,100,90,5.66,IT,1616471993
186,longyearbyen,78.2186,15.6401,-9.0,79,40,13.89,SJ,1616471994
187,corvallis,44.5646,-123.262,5.56,89,20,4.12,US,1616471994
188,kodiak,57.79,-152.4072,1.0,80,90,2.57,US,1616471994
189,linguere,15.3953,-15.1193,23.0,60,0,2.06,SN,1616471994
190,sorong,-0.8833,131.25,28.83,70,83,2.95,ID,1616471995
191,gemena,3.25,19.7667,20.1,92,61,1.02,CD,1616471995
192,doka,13.5167,35.7667,27.37,27,21,3.15,SD,1616471995
193,aripuana,-9.1667,-60.6333,21.84,97,100,0.08,BR,1616471995
194,fonte boa,-2.4959,-66.2662,23.21,95,98,0.94,BR,1616471996
195,nizip,37.0097,37.7942,11.0,71,0,2.57,TR,1616471996
196,kashi,39.4547,75.9797,9.0,43,75,2.0,CN,1616471707
197,tigil,57.8,158.6667,-2.99,74,100,15.79,RU,1616471997
198,olafsvik,64.8945,-23.7142,2.35,65,97,11.41,IS,1616471997
199,kaitangata,-46.2817,169.8464,17.78,79,21,1.79,NZ,1616471997
200,maxixe,-23.8597,35.3472,22.98,78,97,4.52,MZ,1616471998
201,coquimbo,-29.9533,-71.3436,15.0,88,0,2.06,CL,1616471998
202,la ronge,55.1001,-105.2842,-11.0,52,77,3.6,CA,1616471998
203,ixtapa,20.7,-105.2,21.67,83,1,1.36,MX,1616471998
204,lerwick,60.1545,-1.1494,8.0,87,90,5.14,GB,1616471999
205,talkha,31.0539,31.3779,19.07,69,90,4.56,EG,1616471999
206,poum,-20.2333,164.0167,26.77,69,74,6.36,NC,1616471999
207,quatre cocos,-20.2078,57.7625,27.78,94,40,1.54,MU,1616471999
208,ahipara,-35.1667,173.1667,19.31,64,78,2.22,NZ,1616472000
209,nipawin,53.3668,-104.0009,-2.0,93,75,6.69,CA,1616472000
210,avera,33.194,-82.5271,14.0,72,1,2.57,US,1616472000
211,kruisfontein,-34.0033,24.7314,12.78,94,0,1.84,ZA,1616472000
212,kalmar,56.6616,16.3616,1.67,93,48,1.54,SE,1616472000
213,sioux lookout,50.1001,-91.917,-5.0,80,1,0.51,CA,1616472001
214,cherskiy,68.75,161.3,-10.86,63,100,2.67,RU,1616472001
215,hargeysa,9.56,44.065,18.25,38,3,1.81,SO,1616472002
216,mandera,3.9366,41.867,26.61,60,14,3.23,KE,1616472002
217,khatanga,71.9667,102.5,-23.25,78,89,3.32,RU,1616472002
218,bahile,9.9995,118.7878,32.0,74,20,8.23,PH,1616472002
219,dingle,10.9995,122.6711,30.39,63,94,7.54,PH,1616472003
220,richards bay,-28.783,32.0377,18.43,87,75,2.78,ZA,1616472003
221,alice springs,-23.7,133.8833,30.56,73,75,2.57,AU,1616472003
222,kutum,14.2,24.6667,23.42,23,5,1.13,SD,1616472004
223,carnarvon,-24.8667,113.6333,27.0,61,0,9.77,AU,1616471740
224,iwanai,42.9744,140.5089,5.31,62,39,6.22,JP,1616471769
225,mar del plata,-38.0023,-57.5575,18.33,88,99,3.95,AR,1616472004
226,nome,64.5011,-165.4064,-17.0,71,1,9.26,US,1616472005
227,rincon,32.296,-81.2354,17.0,77,1,2.06,US,1616472005
228,monroe,43.1501,-77.6831,11.11,49,1,2.06,US,1616472005
229,cabras,39.93,8.5314,4.24,74,0,1.74,IT,1616472006
230,jambi,-1.6,103.6167,30.72,59,89,1.94,ID,1616472006
231,geraldton,-28.7667,114.6,25.0,47,0,8.75,AU,1616471958
232,hualmay,-11.0964,-77.6139,21.6,83,67,3.98,PE,1616472006
233,moa,20.6569,-74.9403,22.59,86,93,0.95,CU,1616472007
234,trojes,41.756,19.962,7.0,45,75,2.57,AL,1616472007
235,riyadh,24.6877,46.7219,22.0,20,0,1.54,SA,1616471874
236,novaky,48.7111,18.5339,1.11,76,83,1.82,SK,1616472008
237,klaksvik,62.2266,-6.589,4.0,100,90,3.09,FO,1616472008
238,husavik,66.0449,-17.3389,3.0,44,0,5.66,IS,1616472008
239,monchique,37.3177,-8.5553,11.0,76,0,3.6,PT,1616472008
240,sertanopolis,-23.0586,-51.0364,26.0,73,0,2.15,BR,1616472008
241,thohoyandou,-22.9456,30.485,17.58,96,100,2.08,ZA,1616472009
242,razdolnoye,43.55,131.9167,7.0,49,97,6.0,RU,1616472009
243,hulst,51.28,4.0528,5.0,92,41,2.94,NL,1616472009
244,dongsheng,39.8161,109.9776,10.76,21,36,4.55,CN,1616472009
245,gao,16.6362,1.637,24.94,18,35,6.43,ML,1616472010
246,pajapan,18.25,-94.7,21.94,82,0,2.01,MX,1616472010
247,twante,16.7167,95.9333,31.0,66,40,2.06,MM,1616472010
248,yar-sale,66.8333,70.8333,-12.21,96,98,3.17,RU,1616472010
249,tura,25.5198,90.2201,33.26,11,0,2.56,IN,1616472011
250,saint-louis,16.3333,-15.0,23.0,35,0,2.06,SN,1616472011
251,clyde river,70.4692,-68.5914,-29.0,69,75,8.75,CA,1616472011
252,torbay,47.6666,-52.7314,3.0,56,1,8.75,CA,1616472011
253,arrecife,28.963,-13.5477,15.0,77,0,3.09,ES,1616472012
254,carutapera,-1.195,-46.02,22.38,94,78,0.88,BR,1616472012
255,algeciras,36.1333,-5.4505,13.0,54,16,3.09,ES,1616472012
256,andenes,69.3143,16.1194,5.0,75,75,8.75,NO,1616472012
257,alekseyevsk,57.8406,108.3492,-0.68,81,100,5.09,RU,1616472013
258,zhigansk,66.7697,123.3711,-26.49,86,74,5.37,RU,1616472013
259,hamilton,39.1834,-84.5333,13.33,54,40,1.9,US,1616472013
260,sheboygan,43.7333,-87.9334,11.11,62,90,1.54,US,1616472014
261,ures,29.4333,-110.4,18.33,22,82,3.58,MX,1616472014
262,berdigestyakh,62.0989,126.6992,-20.3,81,99,5.82,RU,1616472014
263,mendota,36.7536,-120.3816,12.0,62,1,2.06,US,1616472014
264,tilichiki,60.4667,166.1,-0.9,97,100,13.32,RU,1616472014
265,zvishavane,-20.3267,30.0665,17.79,95,100,3.33,ZW,1616472015
266,balikpapan,-1.2675,116.8289,30.6,57,93,1.94,ID,1616471771
267,sapa,5.1544,120.3241,28.32,73,95,0.51,PH,1616472015
268,nanakuli,21.3906,-158.1547,27.0,61,90,4.63,US,1616472015
269,bathsheba,13.2167,-59.5167,25.0,61,20,7.72,BB,1616472016
270,nakhon phanom,17.3333,104.4167,29.44,53,5,2.06,TH,1616472016
271,ponnani,10.767,75.9252,30.0,70,20,1.03,IN,1616472016
272,ligayan,4.6533,119.4706,27.67,72,100,1.58,PH,1616472016
273,santa maria do suacui,-18.1903,-42.4142,18.22,94,0,0.91,BR,1616472017
